,name,built_date,price_min,price_max,plan_min,plan_max,area_min,are_max,address1,address2,line,station,walk_minutes
0,パークシティ武蔵小山　ザ　タワー　,2020/4,67500000,200000000,1LDK,3LDK,47.08,122.11,品川区,小山３,東急目黒線,武蔵小山,1
1,ザ・パークハウス オイコス 赤羽志茂,2019/3,39000000,75000000,3LDK,4LDK,65.26,84.52,北区,志茂３,東京メトロ南北線,志茂,6
2,BrilliaCity 三鷹,2019/11,39000000,54000000,3LDK,3LDK,70.98,77.24,練馬区,関町南４,ＪＲ中央線,三鷹,52
3,アトラス品川中延,2019/4,45680000,100000000,1LDK,4LDK,40.75,87.05,品川区,中延２,東急池上線,荏原中延,4
4,ラコント早稲田,2018/7,34000000,82000000,1LDK,2LDK,30.09,60.88,新宿区,早稲田鶴巻町512-8、9、10,東京メトロ東西線,早稲田,2
5,アトラス中野南台,2018/12,31980000,72980000,1K,3LDK,32.49,73.73,中野区,南台３,東京メトロ丸ノ内線,中野富士見町,12
6,リビオレゾン渋谷笹塚,2018/9,35000000,61000000,1LDK,1LDK,35.44,62.69,渋谷区,幡ヶ谷３,京王線,笹塚,10
7,リビオレゾン東陽町ステーションプレミア,2019/3,49900000,67900000,2LDK,2LDK,54.06,67.61,江東区,東陽２,東京メトロ東西線,東陽町,3
8,ピアース馬込,2018/8,25000000,42000000,1K,1LDK,25.04,41.7,大田区,中馬込２,都営浅草線,馬込,6
9,ピアース南麻布,2018/11,31000000,78000000,1K,2LDK,22.33,57.29,港区,南麻布２,東京メトロ南北線,白金高輪,5
10,ウエリス仙川調布の森,2019/2,36000000,64000000,3LDK,3LDK,70.61,100.4,調布市,入間町２,小田急線,成城学園前,29
11,リビオ神楽坂,2019/2,28000000,89000000,1K,3LDK,25.0,70.05,新宿区,北山伏町,都営大江戸線,牛込柳町,5
12,パークタワー晴海,2019/9,43000000,100000000,1LDK,4LDK,42.53,121.16,中央区,晴海２,東京メトロ有楽町線,月島,12
13,パークホームズ吉祥寺北グランヴィラ,2018/4,47580000,87980000,2LDK,2LDK,60.62,92.6,練馬区,関町南３,ＪＲ中央線,吉祥寺,47
14,パークホームズ田無 ザ ガーデン,2019/3,35000000,60000000,2LDK,4LDK,55.83,78.17,西東京市,田無町４,西武新宿線,田無,8
15,ザ ブルームテラス,2017/11,36480000,41580000,3LDK,3LDK,73.2,75.64,町田市,小川字十号1564番2外,東急田園都市線,すずかけ台,10
16,ザ・パークハウス 花小金井ガーデン,2017/11,39000000,51000000,2LDK,2LDK,62.26,80.09,小平市,鈴木町２,ＪＲ中央線,武蔵小金井,39
17,グランドメゾン品川シーサイドの杜,2020/1,53500000,80600000,2LDK,3LDK,62.33,72.84,品川区,東品川４,りんかい線,品川シーサイド,3
18,プラウドシティ越中島,2019/3,56790000,85990000,2LDK,4LDK,64.37,83.37,江東区,越中島２,東京メトロ東西線,門前仲町,11
19,プラウド東陽町サウス,2018/6,63890000,74090000,2LDK,2LDK,70.72,70.72,江東区,東陽２,東京メトロ東西線,東陽町,4
20,ザ・マジェスティコート 目黒,2018/11,31600000,57900000,1R,1R,27.79,48.54,目黒区,下目黒２,ＪＲ山手線,目黒,8
21,パークホームズ文京小日向　ザ レジデンス,2018/3,82300000,100000000,3LDK,3LDK,74.28,92.81,文京区,小日向２,東京メトロ丸ノ内線,茗荷谷,7
22,グランドメゾン江古田の杜,2018/3,49600000,69500000,2LDK,3LDK,58.1,84.63,中野区,江古田３,都営大江戸線,新江古田,10
23,プラウド西葛西,2019/3,51990000,100000000,2LDK+S,4LDK,70.56,100.09,江戸川区,西葛西４,東京メトロ東西線,西葛西,8
24,蘆花公園 ザ・レジデンス,2018/3,65980000,75980000,3LDK,3LDK,70.95,80.34,世田谷区,粕谷２,京王線,芦花公園,6
25,ルフォン久米川 武蔵野けやきの杜,2017/12,29000000,55000000,3LDK,4LDK,68.62,85.59,東村山市,栄町３,西武新宿線,久米川,8
26,イニシア新宿早稲田,2017/11,37680000,37680000,1DK,1DK,30.74,30.74,新宿区,西早稲田１,東京メトロ東西線,早稲田,5
27,ザ・パークハウス 花小金井フロント,2017/11,38000000,64000000,2LDK,4LDK,58.64,85.56,小平市,花小金井１,西武新宿線,花小金井,4
28,パークホームズ調布桜堤通り,2017/11,40480000,48980000,3LDK,3LDK,73.28,88.99,調布市,染地２,京王線,調布,36
29,ザ・パークハウス 国分寺四季の森,2018/10、2018/3,42000000,63000000,3LDK,3LDK,69.67,87.57,国分寺市,東恋ヶ窪１,ＪＲ中央線,西国分寺,10
30,BrilliaCity 石神井台,2017/11,44000000,69000000,3LDK,4LDK,69.97,89.11,練馬区,石神井台４,西武新宿線,上石神井,10
31,ザ・パークハウス 立川テラス,2018/12,46680000,67480000,2LDK,2LDK,58.92,80.2,立川市,錦町１,ＪＲ中央線,立川,9
32,クレストシティ木場,2017/11,47980000,57880000,3LDK,3LDK,67.41,76.59,江東区,塩浜２,東京メトロ東西線,木場,11
33,パークホームズ武蔵小金井　緑町,2018/3,48000000,56000000,2LDK,3LDK,60.01,73.98,小金井市,緑町５,ＪＲ中央線,武蔵小金井,11
34,プラウドシティ大田六郷,2017/11,49000000,51000000,3LDK,3LDK,68.22,73.7,大田区,西六郷３,京急本線,雑色,11
35,プレイスヴィラ喜多見,2017/11,50380000,79980000,3LDK,3LDK,70.38,95.42,狛江市,岩戸北２,小田急線,喜多見,7
