"address1","population","area"
"1","千代田区",59737,11.66
"2","中央区",149073,10.21
"3","港区",248621,20.37
"4","新宿区",339724,18.22
"5","文京区",223691,11.29
"6","台東区",200635,10.11
"7","墨田区",260569,13.77
"8","江東区",503888,40.16
"9","品川区",392849,22.84
"10","目黒区",279929,14.67
"11","大田区",722377,60.66
"12","世田谷区",914148,58.05
"13","渋谷区",227268,15.11
"14","中野区",332522,15.59
"15","杉並区",570302,34.06
"16","豊島区",295246,13.01
"17","北区",345666,20.61
"18","荒川区",214742,10.16
"19","板橋区",569654,32.22
"20","練馬区",726928,48.08
"21","足立区",673348,53.25
"22","葛飾区",447316,34.8
"23","江戸川区",687232,49.9
"24","八王子市",577960,186.38
"25","立川市",178286,24.36
"26","武蔵野市",145443,10.98
"29","府中市",261175,29.43
"30","昭島市",111447,17.34
"31","調布市",232656,21.58
"32","町田市",433921,71.8
"33","小金井市",122904,11.3
"34","小平市",191451,20.51
"35","日野市",187249,27.55
"36","東村山市",149901,17.14
"37","国分寺市",123484,11.46
"38","国立市",74339,8.15
"40","狛江市",81376,6.39
"45","多摩市",147260,21.01
"46","稲城市",89399,17.97
"49","西東京市",200933,15.75
